size1,size3, size3, timestamp,
, ,17,1557393583,
17, , ,1557393584,
,17, ,1557393585,
, ,16,1557393585,
21, , ,1557393586,
,17, ,1557393587,
, ,17,1557393587,
20, , ,1557393588,
,16, ,1557393589,
, ,17,1557393589,
18, , ,1557393590,
,17, ,1557393591,
, ,17,1557393591,
18, , ,1557393592,
,17, ,1557393593,
, ,17,1557393593,
,17, ,1557393595,
, ,17,1557393596,
19, , ,1557393596,
18, , ,1557393596,
,16, ,1557393597,
, ,17,1557393598,
18, , ,1557393598,
,18, ,1557393599,
, ,17,1557393600,
19, , ,1557393600,
,17, ,1557393601,
, ,17,1557393602,
18, , ,1557393602,
,17, ,1557393603,
, ,17,1557393604,
19, , ,1557393604,
,17, ,1557393605,
, ,17,1557393606,
18, , ,1557393606,
,17, ,1557393607,
, ,17,1557393608,
18, , ,1557393609,
,17, ,1557393609,
, ,17,1557393610,
18, , ,1557393611,
,17, ,1557393612,
, ,21,1557393612,
18, , ,1557393613,
,18, ,1557393613,
, ,17,1557393614,
18, , ,1557393615,
,17, ,1557393615,
, ,17,1557393616,
19, , ,1557393617,
,18, ,1557393617,
, ,19,1557393618,
18, , ,1557393619,
,18, ,1557393619,
, ,17,1557393620,
18, , ,1557393621,
,17, ,1557393622,
, ,17,1557393622,
18, , ,1557393623,
,16, ,1557393624,
, ,17,1557393624,
18, , ,1557393625,
,16, ,1557393626,
, ,18,1557393626,
18, , ,1557393627,
,16, ,1557393628,
, ,17,1557393628,
17, , ,1557393629,
,17, ,1557393630,
, ,17,1557393630,
21, , ,1557393631,
,17, ,1557393632,
, ,17,1557393632,
20, , ,1557393633,
,17, ,1557393634,
, ,17,1557393635,
18, , ,1557393635,
,16, ,1557393636,
, ,17,1557393637,
18, , ,1557393637,
,21, ,1557393638,
, ,17,1557393639,
18, , ,1557393639,
,17, ,1557393640,
, ,17,1557393641,
18, , ,1557393641,
,16, ,1557393642,
, ,17,1557393643,
18, , ,1557393643,
,17, ,1557393644,
, ,17,1557393645,
18, , ,1557393645,
,24, ,1557393646,
, ,16,1557393647,
18, , ,1557393648,
,20, ,1557393648,
, ,17,1557393649,
19, , ,1557393650,
,17, ,1557393650,
, ,16,1557393651,
18, , ,1557393652,
,16, ,1557393652,
, ,17,1557393653,
18, , ,1557393654,
,16, ,1557393654,
, ,17,1557393655,
18, , ,1557393656,
,16, ,1557393656,
, ,17,1557393657,
18, , ,1557393658,
,16, ,1557393658,
, ,23,1557393659,
18, , ,1557393660,
,16, ,1557393661,
, ,20,1557393661,
20, , ,1557393662,
,18, ,1557393663,
, ,17,1557393663,
18, , ,1557393664,
,17, ,1557393665,
, ,16,1557393665,
18, , ,1557393666,
,18, ,1557393667,
, ,17,1557393667,
18, , ,1557393668,
,18, ,1557393669,
