size1, size2, size3, timestamp
, , 16, 1557396848
, 18, , 1557396848
18, , , 1557396849
, , 17, 1557396850
, 17, , 1557396851
18, , , 1557396851
, , 17, 1557396852
, 19, , 1557396853
18, , , 1557396853
, , 17, 1557396854
, 17, , 1557396855
19, , , 1557396855
, , 18, 1557396857
, 18, , 1557396857
19, , , 1557396857
, , 17, 1557396859
, 17, , 1557396859
18, , , 1557396860
, , 17, 1557396861
, 16, , 1557396861
18, , , 1557396862
, , 16, 1557396863
, 17, , 1557396863
18, , , 1557396864
, , 17, 1557396865
, 21, , 1557396865
18, , , 1557396866
, , 17, 1557396867
, 17, , 1557396867
18, , , 1557396868
, , 17, 1557396869
, 16, , 1557396869
18, , , 1557396870
, , 17, 1557396871
, 17, , 1557396871
18, , , 1557396872
, , 17, 1557396873
, 19, , 1557396873
18, , , 1557396874
, , 17, 1557396875
, 17, , 1557396875
18, , , 1557396876
, , 17, 1557396877
, 17, , 1557396877
18, , , 1557396878
, , 18, 1557396879
, 17, , 1557396879
18, , , 1557396880
, , 17, 1557396881
, 17, , 1557396881
23, , , 1557396882
, , 17, 1557396883
, 17, , 1557396883
18, , , 1557396884
, , 17, 1557396885
, 16, , 1557396885
19, , , 1557396886
, , 17, 1557396887
, 18, , 1557396887
19, , , 1557396888
, , 17, 1557396889
, 17, , 1557396889
18, , , 1557396890
, , 17, 1557396891
, 17, , 1557396892
